file_path,file_name,study_folder,file_type
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8b33_assay-microstructure_cond-control.csv",sub-8b33_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8b33_assay-microstructure_cond-deprivaiton.csv",sub-8b33_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8dbe_assay-microstructure_cond-control.csv",sub-8dbe_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8dbe_assay-microstructure_cond-deprivaiton.csv",sub-8dbe_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8e0c_assay-microstructure_cond-control.csv",sub-8e0c_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-8e0c_assay-microstructure_cond-deprivaiton.csv",sub-8e0c_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-93a2_assay-microstructure_cond-control.csv",sub-93a2_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-93a2_assay-microstructure_cond-deprivaiton.csv",sub-93a2_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-94a3_assay-microstructure_cond-control.csv",sub-94a3_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-94a3_assay-microstructure_cond-deprivaiton.csv",sub-94a3_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-9bcd_assay-microstructure_cond-control.csv",sub-9bcd_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-9bcd_assay-microstructure_cond-deprivaiton.csv",sub-9bcd_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-9d89_assay-microstructure_cond-control.csv",sub-9d89_assay-microstructure_cond-control.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-9d89_assay-microstructure_cond-deprivaiton.csv",sub-9d89_assay-microstructure_cond-deprivaiton.csv,data,microstructure
"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1992_eatdis_deprivation/data/raw/sub-ab1d_assay-microstructure_cond-control.csv",sub-ab1d_assay-microstructure_cond-control.csv,data,microstructure
